STN,DATE,SIGHT

240,20180621,81
240,20180622,76
240,20180623,82
240,20180624,81
240,20180625,82
240,20180626,81
240,20180627,75
240,20180628,82
240,20180629,82
240,20180630,83
240,20180701,83
240,20180702,83
240,20180703,83
240,20180704,83
240,20180705,82
240,20180706,83
240,20180707,83
240,20180708,83
240,20180709,81
240,20180710,80
240,20180711,81
240,20180712,80
240,20180713,82
240,20180714,83
240,20180715,83
240,20180716,83
240,20180717,81
240,20180718,83
240,20180719,83
240,20180720,83
240,20180721,82
240,20180722,83
240,20180723,83
240,20180724,83
240,20180725,83
240,20180726,83
240,20180727,83
240,20180728,80
240,20180729,83
240,20180730,83
240,20180731,82
240,20180801,83
240,20180802,82
240,20180803,83
240,20180804,81
240,20180805,83
240,20180806,82
240,20180807,83
240,20180808,82
240,20180809,82
240,20180810,83
240,20180811,83
240,20180812,83
240,20180813,75
240,20180814,82
240,20180815,77
240,20180816,80
240,20180817,83
240,20180818,83
240,20180819,80
240,20180820,83
240,20180821,75
240,20180822,76
240,20180823,80
240,20180824,83
240,20180825,83
240,20180826,83
240,20180827,80
240,20180828,81
240,20180829,75
240,20180830,83
240,20180831,82
240,20180901,83
240,20180902,83
240,20180903,75
240,20180904,59
240,20180905,65
240,20180906,70
240,20180907,83
240,20180908,82
240,20180909,83
240,20180910,80
240,20180911,75
240,20180912,75
240,20180913,82
240,20180914,83
240,20180915,82
240,20180916,82
240,20180917,83
240,20180918,80
240,20180919,80
240,20180920,80
240,20180921,82
240,20180922,81
240,20180923,75
