"Jaar","Totaal","Voetganger","Fiets","Bromsnorfiets","Motorfiets","Personenauto","Bestelvrachtauto","Gemotoriseerdinvalidenvoertuig","Overig","Onbekend"
"1996",1251,132,239,100,94,609,27,2,31,17
"1997",1235,132,264,86,98,591,34,12,5,13
"1998",1149,133,212,82,85,603,21,3,7,3
"1999",1186,130,227,96,83,587,41,10,4,8
"2000",1166,114,233,104,95,543,58,6,9,4
"2001",1083,115,225,78,85,504,59,7,4,6
"2002",1066,108,195,93,102,503,47,12,6,0
"2003",1088,107,219,87,96,496,61,12,10,0
"2004",881,77,180,58,91,420,22,29,4,0
"2005",817,89,181,62,78,356,26,16,6,3
"2006",811,73,216,66,59,340,30,21,6,0
"2007",791,91,189,67,65,317,43,13,5,1
"2008",750,62,181,54,67,317,39,22,6,2
"2009",720,68,185,55,70,296,28,12,1,5
"2010",640,72,162,43,63,246,27,19,7,1
"2011",661,74,200,45,52,231,22,29,7,1
"2012",650,68,200,50,54,232,19,23,3,1
"2013",570,56,184,53,29,193,22,32,1,0
"2014",570,49,185,47,55,187,15,27,3,2
"2015",621,57,185,45,47,224,19,41,2,1
